Rank,Name,Team,Position,Salary
,Tyson Barrie,NSH,D,4500000
245,Christian Dvorak,MTL,C,4450000
246,Filip Chytil,NYR,LW,4437500
247,Sam Bennett,FLA,C,4425000
248,Connor Murphy,CHI,D,4400000
,Filip Hronek,VAN,D,4400000
,John Marino,NJD,D,4400000
251,Lawson Crouse,ARI,LW,4300000
252,Mattias Samuelsson,BUF,D,4285714
253,Andreas Athanasiou,CHI,C,4250000
,Tyler Toffoli,WPG,RW,4250000
,Viktor Arvidsson,LAK,LW,4250000
256,Trevor Moore,LAK,LW,4200000
257,Carter Verhaeghe,FLA,C,4166667
258,Anthony Beauvillier,NSH,LW,4150000
,John Klingberg,TOR,D,4150000
260,Michael Anderson,LAK,D,4125000
,Shayne Gostisbehere,DET,D,4125000
262,Brandon Carlo,BOS,D,4100000
,Devon Toews,COL,D,4100000
264,Nick Jensen,WAS,D,4050000
265,Marcus Pettersson,PIT,D,4025175
266,Brett Pesce,CAR,D,4025000
267,Adam Larsson,SEA,D,4000000
,Alex Iafallo,WPG,C,4000000
,Erik Gudbranson,CBJ,D,4000000
,Ilya Sorokin,NYI,G,4000000
,Jack Roslovic,NYR,C,4000000
,Jake DeBrusk,BOS,LW,4000000
,Jake McCabe,TOR,D,4000000
,Jake Oettinger,DAL,G,4000000
,Joonas Korpisalo,OTT,G,4000000
,Nick Foligno,CHI,LW,4000000
,Nick Leddy,STL,D,4000000
,Nino Niederreiter,WPG,RW,4000000
,Noah Dobson,NYI,D,4000000
,Radko Gudas,ANA,D,4000000
,Robby Fabbri,DET,C,4000000
,Ross Colton,COL,C,4000000
283,Brenden Dillon,WPG,D,3900000
,Evan Bouchard,EDM,D,3900000
,Mathew Dumba,TBL,D,3900000
286,K'Andre Miller,NYR,D,3872000
287,Bowen Byram,BUF,D,3850000
,Jake Allen,NJD,G,3850000
289,Petr Mrazek,CHI,G,3800000
290,Boone Jenner,CBJ,C,3750000
,Filip Gustavsson,MIN,G,3750000
,Nikita Zadorov,VAN,D,3750000
293,Matthew Grzelcyk,BOS,D,3687500
294,Frank Vatrano,ANA,LW,3650000
,Ryan Suter,DAL,D,3650000
296,Barclay Goodrow,NYR,LW,3641666
297,Ilya Samsonov,TOR,G,3550000
298,Alexander Kerfoot,ARI,C,3500000
,Brandon Montour,FLA,D,3500000
,Brandon Tanev,SEA,C,3500000
,David Savard,MTL,D,3500000
,Joe Pavelski,DAL,C,3500000
,Joel Edmundson,TOR,D,3500000
,Marc-Andre Fleury,MIN,G,3500000
,Scott Mayfield,NYI,D,3500000
306,Jeremy Swayman,BOS,G,3475000
307,Gabe Vilardi,WPG,C,3437500
308,Matias Maccelli,ARI,LW,3425000
309,Alexander Georgiev,COL,G,3400000
,Frederik Andersen,CAR,G,3400000
,Jake Walman,DET,D,3400000
,Joel Armia,MTL,RW,3400000
,Jonas Siegenthaler,NJD,D,3400000
,Justin Holl,DET,D,3400000
,Vitek Vanecek,SJS,G,3400000
316,Kirby Dach,MTL,C,3362500
317,Connor Clifton,BUF,D,3333333
318,Marco Scandella,STL,D,3275000
319,Adam Lowry,WPG,LW,3250000
,Carson Soucy,VAN,D,3250000
,Cody Ceci,EDM,D,3250000
,Erik Johnson,PHI,D,3250000
,Mario Ferraro,SJS,D,3250000
,Radek Faksa,DAL,C,3250000
,Tanner Pearson,MTL,LW,3250000
326,Kasperi Kapanen,STL,RW,3200000
327,Gustav Nyquist,NSH,RW,3185000
328,Brian Dumoulin,SEA,D,3150000
,Erik Haula,NJD,C,3150000
,Matt Roy,LAK,D,3150000
,Nicholas Paul,TBL,C,3150000
332,Jeff Carter,PIT,C,3125000
333,Marcus Foligno,MIN,LW,3100000
,Yegor Sharangovich,CGY,C,3100000
335,Anthony Duclair,TBL,LW,3000000
,Derek Forbort,BOS,D,3000000
,Dylan Demelo,WPG,D,3000000
,Evan Rodrigues,FLA,LW,3000000
,Ian Cole,VAN,D,3000000
,Jordan Greenway,BUF,LW,3000000
,Justin Schultz,SEA,D,3000000
,Martin Necas,CAR,C,3000000
,Matt Duchene,DAL,C,3000000
,Max Domi,TOR,LW,3000000
,Nicolas Roy,VGK,C,3000000
,Olli Maatta,DET,D,3000000
,Pierre Engvall,NYI,LW,3000000
,Ryan Lindgren,NYR,D,3000000
,Scott Laughton,PHI,C,3000000
,Trevor Van Riemsdyk,WAS,D,3000000
351,Mathieu Joseph,OTT,RW,2950000
352,Alex Newhook,MTL,C,2900000
,Jordan Staal,CAR,C,2900000
354,Colton Sissons,NSH,C,2857412
355,Brayden McNabb,VGK,D,2850000
356,Andrew Peeke,BOS,D,2750000
,Anton Forsberg,OTT,G,2750000
,Brett Kulak,EDM,D,2750000
,Brock McGinn,ANA,LW,2750000
,Chandler Stephenson,VGK,C,2750000
,Ilya Lyubushkin,TOR,D,2750000
,Jan Rutta,SJS,D,2750000
,Kaapo Kahkonen,NJD,G,2750000
,Luke Kunin,SJS,C,2750000
,Luke Schenn,NSH,D,2750000
,Patrick Kane,DET,RW,2750000
,Semyon Varlamov,NYI,G,2750000
,Warren Foegele,EDM,LW,2750000
,Zach Whitecloud,VGK,D,2750000
370,Karel Vejmelka,ARI,G,2725000
371,William Borgen,SEA,D,2700000
372,Martin Fehervary,WAS,D,2675000
373,Gustav Forsling,FLA,D,2666667
374,Tanner Jeannot,TBL,LW,2665000
375,Jason Dickinson,CHI,C,2650000
,Sean Walker,COL,D,2650000
377,Noah Cates,PHI,LW,2625000
378,Adam Boqvist,CBJ,D,2600000
,Stuart Skinner,EDM,G,2600000
380,Alex Carrier,NSH,D,2500000
,Alexander Barabanov,SJS,RW,2500000
,Alexander Romanov,NYI,D,2500000
,Casey Cizikas,NYI,C,2500000
,Casey Mittelstadt,COL,C,2500000
,Cody Glass,NSH,C,2500000
,Dante Fabbro,NSH,D,2500000
,Dominik Kubalik,OTT,LW,2500000
,Henri Jokiharju,BUF,D,2500000
,Kyle Okposo,FLA,RW,2500000
,Miles Wood,COL,LW,2500000
,Niko Mikkola,FLA,D,2500000
,Oliver Kylington,CGY,D,2500000
,Sean Kuraly,CBJ,C,2500000
,Tucker Poolman,VAN,D,2500000
,Zemgus Girgensons,BUF,C,2500000
396,Jacob Middleton,MIN,D,2450000
,Lars Eller,PIT,C,2450000
398,David Kampf,TOR,C,2400000
,Jesper Fast,CAR,RW,2400000
